Dấu thời gian,"Tôi thấy app có dung lượng nhẹ, tải nhanh và không chiếm quá nhiều bộ nhớ",Giao diện đăng nhập dễ sử dụng và không bị lỗi khi đăng nhập bằng tài khoản Google,Thao tác đổi mật khẩu dễ dàng,"Giao diện chính của app dễ tiếp cận, thao tác mượt mà, chức năng lọc bài đăng chính xác",Dễ dàng trong việc đăng bài,Tích hợp google map và vị trí người dùng và sắp xếp dựa trên khoảng cách giúp việc kết nối với những người ở gần dễ dàng hơn,"Chức năng nhắn tin hoạt động ổn định, không lag, dễ dàng thao tác trong việc gửi yêu cầu nhận đồ và tiếp nhận yêu cầu","App còn lỗi gì không nếu còn thì chia sẻ với tụi mình nha, tụi mình cám ơn bạn nhiềuuuu !"
02/04/2025 14:31:05,5,5,5,4,4,5,4,Không có
15/04/2025 08:11:22,5,5,5,5,5,5,5,Hay
30/03/2025 19:55:01,5,5,5,5,4,4,5,App ổn
21/04/2025 03:08:47,4,5,5,5,5,5,5,"App ok nha chấm 9,5₫"
11/04/2025 10:01:59,4,4,5,4,5,4,4,Tốt
05/04/2025 22:48:13,5,5,4,5,4,5,5,Không có gì
29/03/2025 16:23:50,3,4,5,4,3,4,4,Ổn định
18/04/2025 05:19:37,5,5,5,5,5,5,5,Rất mượt
08/04/2025 11:40:29,4,4,3,4,4,3,4,Tạm ổn
22/04/2025 21:05:14,5,5,5,4,5,5,4,Good app
01/04/2025 07:33:08,4,3,4,3,4,4,3,Bình thường
14/04/2025 15:59:51,5,5,5,5,5,5,5,Tuyệt vời
06/04/2025 01:22:17,4,4,4,4,3,4,4,Không có lỗi
19/04/2025 09:47:43,3,5,5,4,4,5,4,Ok nha
31/03/2025 20:10:06,5,4,5,5,5,4,5,Mọi thứ tốt
12/04/2025 04:35:32,4,5,4,4,4,5,4,Không có
04/04/2025 18:00:58,5,5,5,5,5,5,5,Rất hay
17/04/2025 02:26:24,4,4,4,3,4,4,3,Đôi khi lag nhẹ
28/03/2025 12:51:50,5,5,5,4,4,5,4,Ổn
09/04/2025 23:17:16,3,4,4,4,3,4,4,Được
20/04/2025 07:42:42,5,5,5,5,5,5,5,Chức năng tốt
02/04/2025 16:08:08,4,5,4,4,4,5,4,Không có vấn đề
15/04/2025 00:33:34,4,4,5,4,5,4,4,Khá tốt
29/03/2025 10:59:00,5,5,5,5,4,5,5,Hài lòng
10/04/2025 21:24:26,4,4,4,4,4,4,4,App chạy mượt
22/04/2025 05:49:52,3,5,5,4,3,5,4,Nên cải thiện tốc độ load map
03/04/2025 14:15:18,5,5,4,5,5,4,5,Rất ổn
16/04/2025 22:40:44,4,4,5,4,4,4,4,Không thấy lỗi
30/03/2025 09:06:10,5,5,5,5,5,5,5,Perfect
11/04/2025 19:31:36,4,3,4,4,4,3,3,Thỉnh thoảng không load được tin nhắn
23/04/2025 03:57:02,5,5,5,4,5,5,4,Okila
04/04/2025 12:22:28,4,4,5,4,4,4,4,Tốt
17/04/2025 20:47:54,5,5,5,5,5,5,5,Very good
28/03/2025 07:13:20,4,4,4,4,4,4,4,"Ổn định, không lỗi"
09/04/2025 17:38:46,5,5,5,4,4,5,4,Không có gì
20/04/2025 02:04:12,3,4,4,3,3,4,3,Cần tối ưu hơn
01/04/2025 10:29:38,5,5,5,5,5,5,5,Xuất sắc
13/04/2025 18:55:04,4,4,5,4,4,4,4,Good
05/04/2025 05:20:30,5,5,4,5,5,5,5,Mượt mà
18/04/2025 13:45:56,4,5,5,4,4,4,4,Không có
30/03/2025 00:11:22,5,4,5,5,5,5,5,Hay lắm
11/04/2025 08:36:48,4,4,4,4,3,4,3,Tạm được
22/04/2025 17:02:14,5,5,5,4,5,5,4,OK
03/04/2025 03:27:40,4,5,5,4,4,5,4,Hoạt động tốt
16/04/2025 11:53:06,5,5,5,5,5,5,5,Không có lỗi gì cả
29/03/2025 22:18:32,3,4,4,4,4,3,4,Map load hơi chậm
10/04/2025 06:43:58,5,5,5,4,5,4,5,Rất tiện lợi
21/04/2025 15:09:24,4,4,5,4,4,4,4,Khá ổn
02/04/2025 01:34:50,5,5,5,5,5,5,5,Tuyệt
14/04/2025 10:00:16,4,4,3,4,4,4,3,Giao diện dễ nhìn
05/04/2025 18:25:42,5,5,5,5,4,5,4,Không vấn đề
18/04/2025 02:51:08,4,5,4,4,5,4,5,Tốt ạ
29/03/2025 13:16:34,5,5,5,5,5,5,5,Mọi thứ ok
11/04/2025 21:42:00,4,4,4,4,4,4,4,Chạy tốt
22/04/2025 06:07:26,5,5,5,4,5,5,4,Không có
03/04/2025 14:32:52,3,4,5,3,4,4,3,Bộ lọc đôi khi chưa chính xác
15/04/2025 22:58:18,5,5,5,5,5,5,5,Rất hài lòng
07/04/2025 09:23:44,4,4,4,4,4,4,4,"App nhẹ, nhanh"
19/04/2025 17:49:10,5,5,5,5,4,5,5,Dễ dùng
01/04/2025 02:14:36,4,5,4,4,5,4,4,Không có lỗi
13/04/2025 10:40:02,5,5,5,5,5,5,5,Ngon
04/04/2025 19:05:28,4,4,5,4,4,4,4,Tạm ổn
17/04/2025 03:30:54,5,5,5,4,5,5,4,Không có gì để chê
28/03/2025 13:56:20,4,3,4,4,3,3,4,Login Google đôi khi lỗi
10/04/2025 22:21:46,5,5,5,5,5,5,5,Quá tốt
21/04/2025 06:47:12,4,4,5,4,4,4,4,Ổn
02/04/2025 15:12:38,5,5,5,5,4,5,5,Hoàn hảo
14/04/2025 23:38:04,4,5,4,4,4,4,4,Không lỗi
06/04/2025 08:03:30,5,5,5,5,5,5,5,Great app
18/04/2025 16:28:56,3,4,4,4,3,4,4,Nên thêm tính năng tìm kiếm bài đăng
30/03/2025 02:54:22,5,5,5,4,5,5,4,Good job
11/04/2025 11:19:48,4,4,5,4,4,4,4,Ok
22/04/2025 19:45:14,5,5,5,5,5,5,5,Rất tốt
03/04/2025 04:10:40,4,5,4,3,4,4,4,Thỉnh thoảng bị văng app
16/04/2025 12:36:06,5,5,5,5,5,5,5,Không có
28/03/2025 23:01:32,4,4,4,4,4,4,4,Ổn định
09/04/2025 07:26:58,5,5,5,5,4,5,4,Mượt
20/04/2025 15:52:24,4,5,5,4,5,5,5,Hay
01/04/2025 00:17:50,5,4,5,5,4,4,4,Tốt
13/04/2025 08:43:16,4,4,4,4,4,4,4,Không có lỗi
04/04/2025 17:08:42,5,5,5,5,5,5,5,Rất hữu ích
17/04/2025 01:34:08,3,4,4,3,3,4,3,Chức năng nhắn tin đôi khi chậm
29/03/2025 11:59:34,5,5,5,4,5,5,4,App ok
10/04/2025 20:25:00,4,4,5,4,4,4,4,Được
21/04/2025 04:50:26,5,5,5,5,5,5,5,Hoàn hảo
02/04/2025 13:15:52,4,5,4,4,4,5,4,Không có vấn đề gì
14/04/2025 21:41:18,5,5,5,5,5,5,5,App tuyệt vời
06/04/2025 06:06:44,4,4,4,4,3,4,3,Bình thường
18/04/2025 14:32:10,5,5,5,4,5,5,4,Không có
30/03/2025 00:57:36,4,5,5,4,4,4,4,Khá tốt
11/04/2025 09:23:02,5,5,5,5,5,5,5,Rất mượt mà
22/04/2025 17:48:28,4,4,3,4,4,3,4,Đổi mật khẩu hơi khó tìm
03/04/2025 02:13:54,5,5,5,4,5,5,4,Ok
15/04/2025 10:39:20,4,3,4,4,4,4,3,
07/04/2025 21:04:46,5,5,5,5,5,5,5,Excellent
19/04/2025 05:30:12,4,4,5,4,4,4,4,Không có lỗi
01/04/2025 13:55:38,5,5,5,5,4,5,5,Tốt
13/04/2025 22:21:04,4,5,4,4,5,4,4,Mượt
05/04/2025 06:46:30,5,5,5,5,5,5,5,Rất tốt
18/04/2025 15:11:56,4,4,4,4,4,4,4,Hoạt động ổn định
29/03/2025 01:37:22,5,5,5,4,5,5,4,Không có
10/04/2025 10:02:48,3,4,5,3,3,4,3,Giao diện chính hơi rối
21/04/2025 18:28:14,5,5,5,5,5,5,5,Hay
02/04/2025 02:53:40,4,4,4,4,4,4,4,OK
14/04/2025 11:19:06,5,5,5,5,4,5,5,Dễ sử dụng
05/04/2025 19:44:32,4,5,4,4,5,4,4,Không lỗi
18/04/2025 04:09:58,5,5,5,5,5,5,5,Tuyệt vời
29/03/2025 14:35:24,4,4,5,4,4,4,4,Tạm được
11/04/2025 23:00:50,5,5,5,4,5,5,4,Không có gì
23/04/2025 07:26:16,4,3,4,4,4,4,3,Thỉnh thoảng đăng bài bị lỗi
04/04/2025 15:51:42,5,5,5,5,5,5,5,Good
